,code,name,date,count,ratio
0,000059,华锦股份,2017-12-31,19946.81,12.47
1,000908,景峰医药,2017-12-31,22896.80,26.03
2,002059,云南旅游,2017-12-31,2197.46,3.01
3,002102,冠福股份,2017-12-31,45775.58,17.38
4,002131,利欧股份,2017-12-31,5606.54,3.50
5,002225,濮耐股份,2017-12-31,4266.48,4.84
6,002446,盛路通信,2017-12-31,962.26,2.15
7,300173,智慧松德,2017-12-31,18104.69,30.89
8,300410,正业科技,2017-12-31,10125.00,51.37
9,300411,金盾股份,2017-12-31,8414.40,52.59
10,300412,迦南科技,2017-12-31,15180.00,58.55
11,600203,福日电子,2017-12-31,5698.87,12.48
12,600871,石化油服,2017-12-31,922432.77,65.22
13,603017,中衡设计,2017-12-31,12046.74,43.75
14,603889,新澳股份,2017-12-31,17947.28,55.20
15,000862,银星能源,2017-12-30,20727.37,29.25
16,002327,富安娜,2017-12-30,31.07,0.04
17,002346,柘中股份,2017-12-30,26655.30,60.36
18,002512,达华智能,2017-12-30,217.60,0.20
19,002587,奥拓电子,2017-12-30,19.20,0.03
20,002737,葵花药业,2017-12-30,16584.15,56.79
21,002738,中矿资源,2017-12-30,7067.40,36.73
22,300161,华中数控,2017-12-30,637.33,3.69
23,300253,卫宁健康,2017-12-30,1161.43,0.73
24,300306,远方光电,2017-12-30,4747.34,16.51
25,300468,四方精创,2017-12-30,21.50,0.20
26,600550,保变电气,2017-12-30,16161.62,10.53
27,600651,飞乐音响,2017-12-30,21659.81,21.84
28,600751,天海投资,2017-12-30,60200.67,20.76
29,603239,浙江仙通,2017-12-30,2304.00,8.51
30,603636,南威软件,2017-12-30,22961.70,56.44
31,603929,亚翔集成,2017-12-30,4320.00,20.25
32,000555,神州信息,2017-12-29,2328.38,2.42
33,000636,风华高科,2017-12-29,607.76,0.68
34,000687,华讯方舟,2017-12-29,22569.58,29.80
35,002196,方正电机,2017-12-29,1271.10,4.79
36,002346,柘中股份,2017-12-29,9522.24,21.56
37,002555,三七互娱,2017-12-29,44917.69,21.55
38,002587,奥拓电子,2017-12-29,410.00,0.67
39,002736,国信证券,2017-12-29,280000.00,34.15
40,002836,新宏泽,2017-12-29,1636.80,10.23
41,002837,英维克,2017-12-29,736.32,3.64
42,300432,富临精工,2017-12-29,8799.97,17.26
43,300585,奥联电子,2017-12-29,2007.00,25.09
44,600336,澳柯玛,2017-12-29,5026.50,6.47
45,600366,宁波韵升,2017-12-29,557.40,1.00
46,600438,通威股份,2017-12-29,49833.89,12.84
47,600490,鹏欣资源,2017-12-29,844.97,0.45
48,600960,渤海活塞,2017-12-29,15540.92,16.35
49,603588,高能环境,2017-12-29,14413.18,21.78
50,000065,北方国际,2017-12-28,773.81,1.51
51,002168,深圳惠程,2017-12-28,148.50,0.18
52,002174,游族网络,2017-12-28,297.79,0.35
53,002270,华明装备,2017-12-28,5600.73,11.06
54,002770,科迪乳业,2017-12-28,2944.62,5.11
55,002833,弘亚数控,2017-12-28,2791.00,20.93
56,002835,同为股份,2017-12-28,3115.84,14.42
57,300124,汇川技术,2017-12-28,22.50,0.01
58,300582,英飞特,2017-12-28,4772.54,24.10
59,600603,广汇物流,2017-12-28,6253.16,9.96
60,600734,实达集团,2017-12-28,1752.10,2.81
61,600797,浙大网新,2017-12-28,915.66,1.00
62,601877,正泰电器,2017-12-28,18899.72,8.86
63,603218,日月股份,2017-12-28,5842.90,14.57
64,603886,元祖股份,2017-12-28,6121.22,25.50
65,002184,海得控制,2017-12-27,85.59,0.35
66,002717,岭南园林,2017-12-27,494.76,1.20
67,603298,杭叉集团,2017-12-27,8392.56,13.56
68,000582,北部湾港,2017-12-26,7996.65,6.45
69,002344,海宁皮城,2017-12-26,16274.50,12.69
70,002631,德尔未来,2017-12-26,35683.10,54.86
71,300100,双林股份,2017-12-26,11320.22,28.45
72,300370,安控科技,2017-12-26,974.04,1.02
73,600066,宇通客车,2017-12-26,31045.50,14.02
74,600996,贵广网络,2017-12-26,8798.73,8.44
75,000555,神州信息,2017-12-25,2831.32,2.94
76,000636,风华高科,2017-12-25,5681.82,6.35
77,000971,高升控股,2017-12-25,102.90,0.20
78,002109,兴化股份,2017-12-25,15324.14,21.83
79,002252,上海莱士,2017-12-25,45623.83,9.18
80,002261,拓维信息,2017-12-25,3809.20,3.43
81,002374,丽鹏股份,2017-12-25,18866.45,21.50
82,002421,达实智能,2017-12-25,83.85,0.04
83,300159,新研股份,2017-12-25,6182.49,4.15
84,300315,掌趣科技,2017-12-25,5878.42,2.12
85,300390,天华超净,2017-12-25,221.61,0.64
86,600323,瀚蓝环境,2017-12-25,13755.40,17.95
87,600466,蓝光发展,2017-12-25,447.10,0.21
88,002120,韵达股份,2017-12-23,15412.19,15.19
89,002171,楚江新材,2017-12-23,760.78,1.42
90,002350,北京科锐,2017-12-23,374.80,1.65
91,002548,金新农,2017-12-23,2026.93,5.32
92,002765,蓝黛传动,2017-12-23,44.80,0.10
93,002832,比音勒芬,2017-12-23,2400.00,22.50
94,300037,新宙邦,2017-12-23,415.74,1.10
95,300579,数字认证,2017-12-23,1201.73,15.02
96,603058,永吉股份,2017-12-23,18590.60,44.10
97,000889,茂业通信,2017-12-22,17630.52,28.35
98,002362,汉王科技,2017-12-22,149.85,0.69
99,300349,金卡智能,2017-12-22,2905.07,12.36
100,600155,宝硕股份,2017-12-22,6410.26,3.69
101,600169,太原重工,2017-12-22,14000.00,5.46
102,600557,康缘药业,2017-12-22,1791.79,2.91
103,603577,汇金通,2017-12-22,2249.70,19.28
104,002554,惠博普,2017-12-21,1178.00,1.10
105,002719,麦趣尔,2017-12-21,7.25,0.07
106,002759,天际股份,2017-12-21,17804.50,39.38
107,300083,劲胜精密,2017-12-21,8571.76,5.99
108,300143,星河生物,2017-12-21,302.50,1.05
109,300577,开润股份,2017-12-21,300.75,2.51
110,600380,健康元,2017-12-21,87.90,0.06
111,603799,华友钴业,2017-12-21,5043.94,8.51
112,000903,云内动力,2017-12-20,7975.46,9.08
113,002017,东信和平,2017-12-20,188.92,0.55
114,002629,仁智股份,2017-12-20,703.94,1.71
115,300575,中旗股份,2017-12-20,2852.41,38.89
116,300576,容大感光,2017-12-20,954.05,11.93
117,300581,晨曦航空,2017-12-20,440.00,9.74
118,600771,广誉远,2017-12-20,2449.67,6.94
119,603823,百合花,2017-12-20,2534.32,11.26
120,002148,北纬通信,2017-12-19,179.43,0.32
121,002199,东晶电子,2017-12-19,1223.42,5.03
122,002559,亚威股份,2017-12-19,42.30,0.11
123,002624,完美世界,2017-12-19,13066.21,9.94
124,002694,顾地科技,2017-12-19,1327.10,2.22
125,300389,艾比森,2017-12-19,56.78,0.18
126,600084,中葡股份,2017-12-19,12552.30,11.17
127,600637,东方明珠,2017-12-19,501.49,0.19
128,600759,洲际油气,2017-12-19,67735.47,29.93
129,603878,武进不锈,2017-12-19,5042.69,24.96
130,000607,华媒控股,2017-12-18,52996.64,52.08
131,002459,天业通联,2017-12-18,16638.94,42.81
132,002517,恺英网络,2017-12-18,683.89,0.95
133,002580,圣阳股份,2017-12-18,224.27,0.63
134,300012,华测检测,2017-12-18,1030.44,1.23
135,300040,九洲电气,2017-12-18,230.28,0.66
136,600540,*ST新赛,2017-12-18,780.00,1.66
137,600866,星湖科技,2017-12-18,9500.00,14.72
138,601000,唐山港,2017-12-18,24038.46,5.27
139,000540,中天金融,2017-12-17,37381.33,7.95
