,code,name,date,count,ratio
0,000005,世纪星源,2018-12-31,10672.38,10.08
1,000671,阳光城,2018-12-31,73051.95,18.04
2,000989,九芝堂,2018-12-31,27195.79,31.28
3,002137,麦达数字,2018-12-31,380.83,0.66
4,002279,久其软件,2018-12-31,258.30,0.37
5,002411,必康股份,2018-12-31,90580.65,59.11
6,002446,盛路通信,2018-12-31,4911.91,10.96
7,002509,天广中茂,2018-12-31,21349.69,8.57
8,002714,牧原股份,2018-12-31,6574.62,5.67
9,002777,久远银海,2018-12-31,4998.00,62.48
10,002787,华源控股,2018-12-31,8812.07,61.17
11,300242,明家联合,2018-12-31,6438.90,10.11
12,300368,汇金股份,2018-12-31,1305.36,2.40
13,300490,华自科技,2018-12-31,10716.30,53.58
14,300491,通合科技,2018-12-31,7676.85,52.63
15,600057,象屿股份,2018-12-31,1345.29,1.15
16,600203,福日电子,2018-12-31,1006.06,2.20
17,600477,杭萧钢构,2018-12-31,8764.34,8.29
18,603299,井神股份,2018-12-31,28013.91,50.08
19,603778,乾景园林,2018-12-31,10951.84,54.76
20,000032,深桑达A,2018-12-30,14281.69,33.82
21,002327,富安娜,2018-12-30,31.07,0.04
22,002512,达华智能,2018-12-30,6475.84,5.91
23,002587,奥拓电子,2018-12-30,14.40,0.02
24,300129,泰胜风能,2018-12-30,4308.72,5.93
25,300253,卫宁健康,2018-12-30,871.07,0.55
26,300366,创意信息,2018-12-30,2749.66,5.23
27,300468,四方精创,2018-12-30,21.50,0.20
28,300494,盛天网络,2018-12-30,12006.00,50.02
29,000636,风华高科,2018-12-29,1975.22,2.21
30,002027,分众传媒,2018-12-29,459106.63,52.55
31,002196,方正电机,2018-12-29,5557.46,20.95
32,002555,三七互娱,2018-12-29,11766.20,5.64
33,002587,奥拓电子,2018-12-29,410.00,0.67
34,300294,博雅生物,2018-12-29,5997.72,14.95
35,600290,华仪电气,2018-12-29,23301.99,30.66
36,600366,宁波韵升,2018-12-29,743.20,1.33
37,600463,空港股份,2018-12-29,4800.00,16.00
38,600876,洛阳玻璃,2018-12-29,1500.00,2.85
39,601668,中国建筑,2018-12-29,8671.00,0.29
40,000042,中洲控股,2018-12-28,17683.47,26.60
41,002168,深圳惠程,2018-12-28,198.00,0.24
42,002174,游族网络,2018-12-28,297.79,0.35
43,002270,华明装备,2018-12-28,16876.30,33.34
44,002506,协鑫集成,2018-12-28,252288.00,49.99
45,300124,汇川技术,2018-12-28,22.50,0.01
46,600745,中茵股份,2018-12-28,15394.60,24.16
47,600797,浙大网新,2018-12-28,7413.96,8.11
48,600887,伊利股份,2018-12-28,710.00,0.12
49,002184,海得控制,2018-12-27,119.83,0.49
50,600271,航天信息,2018-12-27,641.60,0.34
51,300370,安控科技,2018-12-26,974.04,1.02
52,000971,高升控股,2018-12-25,137.20,0.27
53,002261,拓维信息,2018-12-25,8792.84,7.91
54,002421,达实智能,2018-12-25,128.07,0.07
55,300159,新研股份,2018-12-25,31386.55,21.06
56,300315,掌趣科技,2018-12-25,4768.55,1.72
57,300390,天华超净,2018-12-25,1811.88,5.26
58,300420,五洋科技,2018-12-25,4640.48,9.56
59,600091,ST明科,2018-12-25,10088.65,23.06
60,600243,青海华鼎,2018-12-25,20200.00,46.03
61,600466,蓝光发展,2018-12-25,447.10,0.21
62,600510,黑牡丹,2018-12-25,25157.23,24.03
63,002542,中化岩土,2018-12-24,19050.00,10.58
64,300232,洲明科技,2018-12-24,6338.44,10.06
65,600396,金山股份,2018-12-24,30806.16,20.92
66,603508,思维列控,2018-12-24,9480.00,59.25
67,000663,永安林业,2018-12-23,3187.74,9.35
68,002171,楚江新材,2018-12-23,1729.20,3.23
69,002350,北京科锐,2018-12-23,281.10,1.23
70,002415,海康威视,2018-12-23,3139.61,0.34
71,002421,达实智能,2018-12-23,17323.15,8.99
72,002548,金新农,2018-12-23,4023.89,10.57
73,002765,蓝黛传动,2018-12-23,33.60,0.08
74,002785,万里石,2018-12-23,10221.12,51.11
75,002786,银宝山新,2018-12-23,24300.00,63.74
76,300037,新宙邦,2018-12-23,311.81,0.82
77,002362,汉王科技,2018-12-22,149.85,0.69
78,002781,奇信股份,2018-12-22,13255.65,58.91
79,300492,山鼎设计,2018-12-22,5850.00,70.31
80,300497,富祥股份,2018-12-22,4482.90,40.01
81,600466,蓝光发展,2018-12-22,97.43,0.05
82,603866,桃李面包,2018-12-22,39094.87,86.85
83,603996,中新科技,2018-12-22,19687.50,65.59
84,000723,美锦能源,2018-12-21,168000.00,73.65
85,002554,惠博普,2018-12-21,1178.00,1.10
86,002782,可立克,2018-12-21,31950.00,75.00
87,300083,劲胜精密,2018-12-21,20511.35,14.32
88,300143,星河生物,2018-12-21,242.00,0.84
89,300267,尔康制药,2018-12-21,23282.89,11.29
90,300495,美尚生态,2018-12-21,28126.33,46.78
91,600380,健康元,2018-12-21,87.90,0.06
92,002148,北纬通信,2018-12-19,134.57,0.24
93,002559,亚威股份,2018-12-19,42.30,0.11
94,002624,完美世界,2018-12-19,2144.86,1.63
95,002694,顾地科技,2018-12-19,1327.10,2.22
96,600637,东方明珠,2018-12-19,501.49,0.19
97,000070,特发信息,2018-12-18,4249.74,13.56
98,000563,陕国投A,2018-12-18,22862.81,7.40
99,002517,恺英网络,2018-12-18,41101.60,57.28
100,002520,日发精机,2018-12-18,680.89,1.23
101,002580,圣阳股份,2018-12-18,224.27,0.63
102,300040,九洲电气,2018-12-18,307.04,0.89
103,603010,万盛股份,2018-12-18,3439.20,13.52
104,000413,东旭光电,2018-12-17,59384.16,12.02
105,300097,智云股份,2018-12-17,4228.05,15.72
106,600351,亚宝药业,2018-12-17,9504.15,12.08
107,600614,鹏起科技,2018-12-17,2002.36,1.14
108,603006,联明股份,2018-12-17,2898.96,15.03
